,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
0,57,25,.695,—,117.9,111.4,6.38,1991,Boston Celtics*
1,54,28,.659,3.0,115.2,110.9,4.37,1991,Philadelphia 76ers*
2,47,35,.573,10.0,116.0,113.1,2.99,1991,New York Knicks*
3,45,37,.549,12.0,113.4,112.5,1.03,1991,Brooklyn Nets*
4,41,41,.500,16.0,112.9,111.4,1.59,1991,Toronto Raptors*
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1991,Central Division
6,58,24,.707,—,116.9,113.3,3.61,1991,Milwaukee Bucks*
7,51,31,.622,7.0,112.3,106.9,5.23,1991,Cleveland Cavaliers*
8,40,42,.488,18.0,113.1,111.8,1.37,1991,Chicago Bulls*
9,35,47,.427,23.0,116.3,119.5,-2.91,1991,Indiana Pacers
10,17,65,.207,41.0,110.3,118.5,-7.73,1991,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,1991,Southeast Division
12,44,38,.537,—,109.5,109.8,-0.13,1991,Miami Heat*
13,41,41,.500,3.0,118.4,118.1,0.32,1991,Atlanta Hawks*
14,35,47,.427,9.0,113.2,114.4,-1.06,1991,Washington Wizards
15,34,48,.415,10.0,111.4,114.0,-2.39,1991,Orlando Magic
16,27,55,.329,17.0,111.0,117.2,-5.89,1991,Charlotte Hornets
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,1991,Northwest Division
1,53,29,.646,—,115.8,112.5,3.04,1991,Denver Nuggets*
2,42,40,.512,11.0,115.8,115.8,-0.22,1991,Minnesota Timberwolves*
3,40,42,.488,13.0,117.5,116.4,0.96,1991,Oklahoma City Thunder*
4,37,45,.451,16.0,117.1,118.0,-1.03,1991,Utah Jazz
5,33,49,.402,20.0,113.4,117.4,-3.96,1991,Portland Trail Blazers
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1991,Pacific Division
7,48,34,.585,—,120.7,118.1,2.30,1991,Sacramento Kings*
8,45,37,.549,3.0,113.6,111.6,2.08,1991,Phoenix Suns*
9,44,38,.537,4.0,113.6,113.1,0.31,1991,Los Angeles Clippers*
10,44,38,.537,4.0,118.9,117.1,1.66,1991,Golden State Warriors*
11,43,39,.524,5.0,117.2,116.6,0.43,1991,Los Angeles Lakers*
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,1991,Southwest Division
13,51,31,.622,—,116.9,113.0,3.60,1991,Memphis Grizzlies*
14,42,40,.512,9.0,114.4,112.5,1.63,1991,New Orleans Pelicans*
